Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-70B,32,1,32,32,32,1664,0.068524,0.0245713464355468,0.013847,0.1069423464355468,0.0100555,8.71544321484375,114.73885783534736,1816.6084217094449,331.3817826070876,1.0
Llama2-70B,32,1,32,32,32,1792,0.070619,0.0245713464355468,0.014727,0.1099173464355468,0.0100555,8.95344321484375,111.6888749952776,1819.5174621889116,322.06585022956125,1.0
Llama2-70B,32,1,32,32,32,1920,0.072763,0.0245713464355468,0.015607,0.1129413464355468,0.0100555,9.195363214843749,108.75046223141416,1822.4276070854687,313.0759464091415,1.0
Llama2-70B,32,1,32,32,32,2048,0.074907,0.0245713464355468,0.0164869999999999,0.1159653464355468,0.0100555,9.43728321484375,105.96269892876757,1825.337751982028,304.6006634863944,1.0
Llama2-70B,32,1,32,32,32,2176,0.082186,0.0245713464355468,0.017367,0.1241243464355468,0.0100555,10.09000321484375,99.10799617277284,1837.2133904274888,279.42918964718586,1.0
Llama2-70B,32,1,32,32,32,2304,0.084281,0.0245713464355468,0.018247,0.1270993464355468,0.0100555,10.32800321484375,96.82413717326952,1840.1224309069548,272.9147777830939,1.0
Llama2-70B,32,1,32,32,32,2432,0.086425,0.0245713464355468,0.019127,0.1301233464355468,0.0100555,10.569923214843753,94.60806665044278,1843.0325758035128,266.56531324898936,1.0
Llama2-70B,32,1,32,32,32,2560,0.088569,0.0245713464355468,0.020007,0.1331473464355468,0.0100555,10.81184321484375,92.49116733648933,1845.942720700072,260.52325315574177,1.0
Llama2-70B,32,1,32,32,32,2688,0.090698,0.0245713464355468,0.020887,0.1361563464355468,0.0100555,11.05256321484375,90.47675010417365,1848.8524934274797,254.8088840751008,1.0
Llama2-70B,32,1,32,32,32,2816,0.092793,0.0245713464355468,0.021767,0.1391313464355468,0.0100555,11.290563214843749,88.56954086092853,1851.7615339069453,249.44790203826597,1.0
Llama2-70B,32,1,32,32,32,2944,0.094937,0.0245713464355468,0.022647,0.1421553464355468,0.0100555,11.532483214843747,86.71159379732501,1854.671678803504,244.19768883621555,1.0
Llama2-70B,32,1,32,32,32,3072,0.097081,0.0245713464355468,0.023527,0.1451793464355468,0.0100555,11.77440321484375,84.92999447643516,1857.5818237000624,239.1793738862473,1.0
Llama2-70B,32,1,32,32,32,3200,0.10436,0.0245713464355468,0.024407,0.1533383464355469,0.0100555,12.427123214843752,80.46914661677579,1869.457462145523,223.9193012343718,1.0
Llama2-70B,32,1,32,32,32,3328,0.106455,0.0245713464355468,0.025287,0.1563133464355468,0.0100555,12.66512321484375,78.9569894454704,1872.3665026249896,219.85422274963463,1.0
Llama2-70B,32,1,32,32,32,3456,0.108599,0.0245713464355468,0.026167,0.1593373464355468,0.0100555,12.90704321484375,77.47707847215926,1875.276647521548,215.8487471709624,1.0
Llama2-70B,32,1,32,32,32,3584,0.110743,0.0245713464355468,0.027047,0.1623613464355469,0.0100555,13.148963214843752,76.0516235128796,1878.1867924181065,211.9983647293854,1.0
Llama2-70B,32,1,32,32,32,3712,0.112872,0.0245713464355468,0.027927,0.1653703464355468,0.0100555,13.389683214843751,74.68436586247267,1881.0965651455144,208.32187844920725,1.0
Llama2-70B,32,1,32,32,32,3840,0.114967,0.0245713464355468,0.028807,0.1683453464355468,0.0100555,13.627683214843753,73.38004444590882,1884.0056056249805,204.8419987501826,1.0
Llama2-70B,32,1,32,32,32,3968,0.117111,0.0245713464355468,0.029687,0.1713693464355468,0.0100555,13.869603214843751,72.10011595211057,1886.9157505215387,201.40248893374,1.0
Llama2-70B,32,1,32,32,32,4096,0.119255,0.0245713464355468,0.030567,0.1743933464355468,0.0100555,14.111523214843752,70.8640722036379,1889.8258954180967,198.0866520709925,1.0
Llama2-70B,32,2,16,32,32,128,0.0415735,0.0239752999877929,0.003287,0.0688357999877929,0.0119035,5.668767499023438,352.8103772724038,1091.338038088195,656.2702431165258,1.0
Llama2-70B,32,2,16,32,32,256,0.0436685,0.0239752999877929,0.004167,0.0718107999877929,0.0119035,5.906767499023437,338.5946713376917,1094.1951838483876,626.4213242087479,1.0
Llama2-70B,32,2,16,32,32,384,0.0458125,0.0239752999877929,0.0050469999999999,0.0748347999877929,0.0119035,6.1486874990234375,325.27267003204327,1097.0534340256736,598.6649026060975,1.0
Llama2-70B,32,2,16,32,32,512,0.0479565,0.0239752999877929,0.005927,0.0778587999877929,0.0119035,6.390607499023438,312.9592922590887,1099.911684202959,573.3903038185431,1.0
Llama2-70B,32,2,16,32,32,640,0.0500855,0.0239752999877929,0.0068069999999999,0.0808677999877929,0.0119035,6.631327499023437,301.59873725050227,1102.7695622110934,550.4435226817609,1.0
Llama2-70B,32,2,16,32,32,768,0.0521805,0.0239752999877929,0.0076869999999999,0.0838427999877929,0.0119035,6.869327499023438,291.1493156039402,1105.626707971287,529.7125880220036,1.0
Llama2-70B,32,2,16,32,32,896,0.0543245,0.0239752999877929,0.008567,0.0868667999877929,0.0119035,7.111247499023437,281.2446058549717,1108.484958148572,510.1220251215254,1.0
Llama2-70B,32,2,16,32,32,1024,0.0564685,0.0239752999877929,0.0094469999999999,0.0898907999877929,0.0119035,7.353167499023438,271.9916281338099,1111.3432083258572,492.0190939753392,1.0
Llama2-70B,32,2,16,32,32,1152,0.063776,0.0239752999877929,0.010327,0.0980782999877929,0.0119035,8.008167499023436,249.74502596803725,1123.3531655632985,440.3510590046798,1.0
Llama2-70B,32,2,16,32,32,1280,0.065871,0.0239752999877929,0.011207,0.1010532999877929,0.0119035,8.246167499023437,242.53691187292188,1126.2103113234914,427.4302467411651,1.0
Llama2-70B,32,2,16,32,32,1408,0.068015,0.0239752999877929,0.012087,0.1040772999877929,0.0119035,8.48808749902344,235.6243382540651,1129.0685615007772,415.0071901421659,1.0
Llama2-70B,32,2,16,32,32,1536,0.070159,0.0239752999877929,0.012967,0.1071012999877929,0.0119035,8.730007499023438,229.0948776646212,1131.9268116780622,403.34340985406817,1.0
Llama2-70B,32,2,16,32,32,1664,0.072288,0.0239752999877929,0.013847,0.1101102999877929,0.0119035,8.970727499023438,222.9473585300325,1134.7846896861968,392.45265109222726,1.0
Llama2-70B,32,2,16,32,32,1792,0.074383,0.0239752999877929,0.014727,0.1130852999877929,0.0119035,9.20872749902344,217.1852734497893,1137.64183544639,382.3594892133921,1.0
Llama2-70B,32,2,16,32,32,1920,0.076527,0.0239752999877929,0.015607,0.1161092999877929,0.0119035,9.450647499023438,211.62571138185672,1140.500085623675,372.5809471244381,1.0
Llama2-70B,32,2,16,32,32,2048,0.078671,0.0239752999877929,0.0164869999999999,0.1191332999877929,0.0119035,9.692567499023438,206.3436752131473,1143.3583358009607,363.3353890890418,1.0
Llama2-70B,32,2,16,32,32,2176,0.08595,0.0239752999877929,0.017367,0.1272922999877929,0.0119035,10.345287499023438,193.32473845591952,1155.1820795271483,336.0040952667681,1.0
Llama2-70B,32,2,16,32,32,2304,0.088045,0.0239752999877929,0.018247,0.1302672999877929,0.0119035,10.583287499023438,188.97719637537463,1158.039225287342,328.8202695460679,1.0
Llama2-70B,32,2,16,32,32,2432,0.090189,0.0239752999877929,0.019127,0.1332912999877929,0.0119035,10.825207499023438,184.7539643171204,1160.8974754646274,321.79574988763227,1.0
Llama2-70B,32,2,16,32,32,2560,0.092333,0.0239752999877929,0.020007,0.1363152999877929,0.0119035,11.06712749902344,180.71536631131065,1163.7557256419127,315.0974531429477,1.0
Llama2-70B,32,2,16,32,32,2688,0.094462,0.0239752999877929,0.020887,0.1393242999877929,0.0119035,11.307847499023438,176.8683208871293,1166.613603650047,308.7520917538393,1.0
Llama2-70B,32,2,16,32,32,2816,0.096557,0.0239752999877929,0.021767,0.1422992999877929,0.0119035,11.54584749902344,173.2224507702152,1169.4707494102402,302.7928450061208,1.0
Llama2-70B,32,2,16,32,32,2944,0.098701,0.0239752999877929,0.022647,0.1453232999877929,0.0119035,11.787767499023438,169.6674115913544,1172.328999587526,296.9394939229404,1.0
Llama2-70B,32,2,16,32,32,3072,0.100845,0.0239752999877929,0.023527,0.1483472999877929,0.0119035,12.02968749902344,166.25535785217684,1175.1872497648108,291.33503142565587,1.0
Llama2-70B,32,2,16,32,32,3200,0.108124,0.0239752999877929,0.024407,0.1565062999877929,0.0119035,12.68240749902344,157.69876501397724,1187.0109934909988,274.455947220552,1.0
Llama2-70B,32,2,16,32,32,3328,0.110219,0.0239752999877929,0.025287,0.1594812999877929,0.0119035,12.92040749902344,154.79387938431242,1189.8681392511917,269.887256110832,1.0
